丶丶,OdOd	⺀
隹,Mi	⾫
雨,Xv	⾬
龶円,JfFy	⾭
,Lf	⾮
面,Xm	⾯
革,Rg	⾰
韋,Jw	⾱
非一,LfDi	⾲
音,Wy	⾳
頁,Wy	⾴
風,If	⾵
飛,Gf	⾶
食,Hs	⾷
䒑自,NbVi	⾸
禾日,BhUr	⾹
馬,Nm	⾺
⾻,Ug	⾻
高,Qg	⾼
髟,Gb	⾽
鬥,Sd	⾾
凵匕,FmJkWb	⾿
鬲,Ug	⿀
鬼,Eg	⿁
魚,Av	⿂
鳥,Gn	⿃
⺊龱,FbKl	⿄
鹿,Il	⿅
⿆,Lm	⿆
麻,Am	⿇
黃,Eh	⿈
禾人氺,BhHrMs	⿉
黑,Nh	⿊
业㡀,OyIb	⿋
黽,Um	⿌
目,EmJpJp	⿍
壴支,EuRi	⿎
鼠,Es	⿏
自田丌,ViCtZc	⿐
齊,Oq	⿑
齒,Tc	⿒
立⺝{龍右},XlFyDa	⿓
⿔,Gg	⿔
侖口{双口},FlKkPx	⿕
〇,Kk	〇
一,Di	㇀
㇢,Ae	㇁
レ,Ae	㇂
レ,Ae	㇃
乚,Ae	㇄
㇅,Ae	㇅
𠃌,Ae	㇆
フ,Ae	㇇
㇈,Ae	㇈
ㄅ,Ae	㇉
㇅,Ae	㇊
ㄋ,Ae	㇋
ㄋ,Ae	㇌
㇅,Ae	㇍
㇎,Ae	㇎
丶,Od	㇏
一,Di	㇐
丨,Hs	㇑
丿,Tp	㇒
丿,Tp	㇓
丶,Od	㇔
ヿ,Ae	㇕
乛,Ae	㇖
㇗,Ae	㇗
丨一,HsDi	㇘
レ,Ae	㇙
丨,Hs	㇚
ㄑ,Ae	㇛
ㄥ,Ae	㇜
丶,Od	㇝
㇞,Ae	㇞
乚,Ae	㇟
乙,Ki	㇠
ㄋ,Ae	㇡
㇢,Ae	㇢
〇,Kk	㇣
⺄,Ae	㇤
ㄅ,Ae	㇥
干丷戊乛,ZgNbMuAe	㍻
日刀禾口,UrNdBhKk	㍼
大一止,IdDiLi	㍽
日月氵厶,UrFyMsIs	㍾
木丿未人云弋工礻土,YmTpVwEt	㍿
卝一,ZcDi	㐀
一囗人,DiAkHr	㐁
七七七,CqCqCq	㐂
丨,KkHs	㐃
㐄,Lk	㐄
乂,Ei	㐅
⺁彐𠃌,UcWjAe	㐆
九乙,LjKi	㐇
入乙,VuKi	㐈
丁乙,PdKi	㐉
士乙,JsKi	㐊
土乙,EtKi	㐋
𠂉也,StEy	㐌
爫乙,IaKi	㐍
文乙,LwKi	㐎
五乙,UuKi	㐏
女又乙,WnTyKi	㐐
夂゛乙,JiGbKi	㐑
刀口乙,NdKkKi	㐒
可乙,EkKi	㐓
乙,QgKi	㐔
由乙,UyKi	㐕
士口乚,JsKkAe	㐖
老乙,RlKi	㐗
米乙,FmKi	㐘
豆乙,GdKi	㐙
五口乙,UuKkKi	㐚
亻𠂇口乙,HrPsKkKi	㐛
一氺丶九,DiMsOdLj	㐜
扌句乙,OsEjKi	㐝
乙,FgNbKi	㐞
非乙,LfKi	㐟
爫子乚乙,IaHiAeKi	㐠
九而大,LjKeId	㐡
氵爫子乙,MsIaHiKi	㐢
广車乙,BgQcKi	㐣
九十目,LjPsEmNb	㐤
金且力乙,WjHqClKi	㐥
一ㄅ丨手乙,YjDiAeKi	㐦
丶𬺰丿,OdPsTp	㐧
予予,OvOv	㐨
井井,VjVj	㐩
亠山人,LtUsHr	㐪
亠㐅凵,LtEiJk	㐫
,ZyKc	㐬
亠囗口,LtAkKk	㐭
衣八井一,QiNbVjDi	㐮
口禾日,QgKkBhUr	㐯
亻口,HrKk	㐰
人彡,HrFs	㐱
亻大,HrId	㐲
亻一儿,HrDiRe	㐳
亻夕,HrVx	㐴
亻一𬺰,HrDiPs	㐵
亻巳,HrVs	㐶
亻马,HrSm	㐷
亻欠,HrPq	㐸
亻气,HrIq	㐹
亻亻人,HrHrHr	㐺
亻冂人,HrJkHr	㐻
亻丿廾,HrTpZc	㐼
亻几乂,HrQjEi	㐽
亻二儿,HrNeRe	㐾
亻手,HrOs	㐿
亻大丶,HrIdOd	㑀
亻屮凵,HrMcJk	㑁
亻一冂人,HrDiJkHr	㑂
亻幺力,HrDyCl	㑃
亻母,HrPm	㑄
亻𠂉⺊一,HrStFbDi	㑅
亻口儿,HrKkRe	㑆
亻⺈彐,HrDdWj	㑇
亻小,HrCqIx	㑈
亻几歹,HrQjSd	㑉
亻亠,HrLtRh	㑊
亻曲,HrEq	㑋
亻匚王,HrVkRw	㑌
亻耒,HrTl	㑍
亻巛山,HrKcUs	㑎
亻宀寸,HrGgOc	㑏
亻⺊一小,HrFbDiIx	㑐
亻自,HrVi	㑑
亼口人,ZiKkHr	㑒
亻厶𠂇又,HrIsPsTy	㑓
亻页,HrQy	㑔
亻山夕,HrUsVx	㑕
亻亻口丨,HrHrKkHs	㑖
亻身,HrXs	㑗
亻戈廾,HrAgZc	㑘
亻耳㇗,HrVeAe	㑙
亻𠃌阝,HrAeOsXe	㑚
亻束,HrTs	㑛
亻扌斤,HrOsSj	㑜
亻王廾,HrRwZc	㑝
亻火廾,HrRhZc	㑞
亻,HrSjNb	㑟
亻〢又土,HrNdTyEt	㑠
亻卩,HrPgWj	㑡
亻土厶卩,HrEtIsWj	㑢
亻木木,HrYmYm	㑣
亻艹田,HrZcCt	㑤
亻日勹,HrUrAkFs	㑥
亻户犬,HrDhAq	㑦
亻禾子,HrBhHi	㑧
亻口矢,HrKkGs	㑨
亻罒夕,HrBsVx	㑩
亻斉,HrOq	㑪
亻亽ヿ心,HrZiAeLx	㑫
亻女古,HrWnOg	㑬
亻田丌,HrCtZc	㑭
亻冖車,HrGgQc	㑮
亻頁,HrWy	㑯
亻彑,HrWjHs	㑰
亻予丿木,HrOvTpYm	㑱
亻十冂,HrPsJkSy	㑲
亻勹勹,HrAkMcMc	㑳
亻彐冖巾又,HrWjGgTy	㑴
亻疒矢,HrNbGs	㑵
亻气米,HrIqFm	㑶
亻厶⺝匕,HrIsFyWb	㑷
亻古可,HrOgEk	㑸
亼由日,ZiUyUr	㑹
亻隹乃,HrMiDn	㑺
亻宀心丿山,HrGgLxUs	㑻
亻田各,HrCtKg	㑼
亻土,HrSsEt	㑽
亻言,HrFyDy	㑾
亻巛田木,HrKcCtYm	㑿
亻冂古,HrXlJkOg	㒀
亻囗土,HrAkEtSy	㒁
亻艹耂日,HrZcRlUr	㒂
亻弋二貝,HrXiNeRb	㒃
亻犬灬,HrFyAqRh	㒄
亻衣夕夕,HrQiVxVx	㒅
亻亼口羽,HrZiKkWv	㒆
亻𠂉卌一灬,HrStUxRh	㒇
亻ヿ耳攵,HrAeVeAp	㒈
亻木,HrSsYm	㒉
亻刀丶止刀丶止,HrNdOdLi	㒊
亻斤,HrFgNbSj	㒋
亻火火冖几,HrRhRhQj	㒌
亻厶厶厶糸,HrIsIsFs	㒍
亻一大非,HrDiIdLf	㒎
亻宀井゛,HrGgVjGb	㒏
亻⺮勹日,HrJuAkUr	㒐
亻匚氵隹,HrVkMsMi	㒑
亻业䒑未,HrOyNbVw	㒒
亻土羊辶,HrEtSyJc	㒓
亻罒勹虫,HrBsAkVc	㒔
亻亠乡隹,HrLtRxMi	㒕
亻艹田⽱,HrZcCtAr	㒖
亻甘冖至,HrFgGgGi	㒗
亻臣又立,HrEcTyXl	㒘
亻糹白巾,HrFsJbAj	㒙
亻爫工彐心,HrIaLgLx	㒚
亻羽隹,HrWvMi	㒛
亻一ㄅ丨,HrYjDiNb	㒜
亻艹罒戊丶,HrZcBsOd	㒝
亻山隹,HrUsMiJk	㒞
亻衣馬,HrQiNm	㒟
亻歺又非一,HrSdTyDi	㒠
亻爫缶丿糸,HrIaTfFs	㒡
