㐀	21{卢字头}1
㔛	士口力
㔜	爫子力
㔝	1巾入力
㔞	千{北字旁}匕力
㔟	生丸力
㔠	日勹亾力
㔡	3囗乂力
㔢	糹{负字头}巴力
㔣	田田田力
㔤	宀3米力
㔥	罒厶{青字底}力
㔦	{差字头}44力
㔧	虍田皿力
㔨	勹{北字旁}匕{青字底}
㔩	勹土厶皿
㔪	勹{卢字头}{鹵字底}
㔫	{左字框}匕
㔬	匕日十
㔭	匕日{定字底}
㔮	廿口夫匕
㔯	匚几口
㔰	匚夕卜
㔱	匚臼人
㔲	匚飠九
㔳	匚飠几
㔴	匚田龷八
㔵	匚巳巳八
㔶	匚音十貝
㔷	匚1冂人
㔸	匚{反字框}虎
㔹	十力
㔺	十十5
㔻	不十
㔼	扌隹十
㔽	{卢字头}囗口
㔾	㔾
㔿	1丩
㕀	由㔾
㕁	乂{左字框}厶卩
㕂	厂亽5
㕃	厂1廾
㕄	厂1幺
㕅	厂甲
㕆	厂古
㕇	厂立
㕈	厂衣
㕉	厂亼口
㕊	厂甫
㕋	厂金
㕌	厂日1寸
㕍	厂隹
㕎	厂土厶皿
㕏	厂豆斗
㕐	厂臼勹灬
㕑	厂壴寸
㕒	厂{美字头}3戈
㕓	厂黑土
㕔	厂耳王心
㕕	厶厶
㕖	厶厶厶木
㕗	{美字头}{久二}4厶
㕘	厶厶厶小
㕙	厶八夂兔
㕚	又44
㕛	又又
㕜	口2又
㕝	古又
㕞	尸巾又
㕟	{卢字头}{扁字心}又
㕠	冫隹又
㕡	{歺变}谷又
㕢	{歺变}貝又
㕣	八口
㕤	口九
㕥	口人
㕦	口大
㕧	口尸
㕨	口几4
㕩	口丰
㕪	口冖{见字底}
㕫	口方
㕬	口八厶
㕭	口3大
㕮	口八乂
㕯	冂人口
㕰	口毛
㕱	口尤
㕲	口木
㕳	口乂凵
㕴	口冖几
㕵	口王
㕶	口五
㕷	口白
㕸	口立
㕹	口{左字框}又4
㕺	吅15
㕻	4不口
㕼	口勹乂5
㕽	口{以字旁}人
㕾	小口匕
㕿	禾口
㖀	口聿
㖁	口乂{左字框}厶
㖂	口日53
㖃	口{反字框}1口
㖄	口{横三点}川
㖅	口戊1
㖆	口曲
㖇	口而
㖈	老口
㖉	口{全字头}止
㖊	口彐寸
㖋	{全字头}{乔字底}口匕
㖌	亻九口匕
㖍	斗口匕
㖎	口匕{全字头}{乔字底}
㖏	口日土
㖐	吅{聿三}3
㖑	口戈廾
㖒	口丷{弟省}
㖓	口夂丰
㖔	口3大口
㖕	口辛
㖖	辛口
㖗	口山亽5
㖘	口辰
㖙	力口口匕
㖚	亻寸口匕
㖛	古口匕
㖜	亠口口匕
㖝	未口匕
㖞	口口冂人
㖟	口爫冖又
㖠	口大示
㖡	口亠亻{夜下角}
㖢	口广止匕
㖣	口立口
㖤	口5氺凵
㖥	口囗禾
㖦	口束1
㖧	口氏日
㖨	口{录字头}氺
㖩	口耳又
㖪	口戈口1
㖫	口土八夂
㖬	口臼又
㖭	口1大{恭字底}
㖮	口侖
㖯	冂1口匕
㖰	口匕冂口
㖱	亠亻{夜下角}口
㖲	女口口匕
㖳	氵女口匕
㖴	口艹勹{横两撇}
㖵	口{具字头无横}{共字底}
㖶	口覀土
㖷	口日{定字底}
㖸	口虍{虐字底}
㖹	口八刀皿
㖺	口{寿字头}4日
㖻	口予3木
㖼	口甘木
㖽	口頁
㖾	吅䒑䶹
㖿	口耳阝
㗀	口山幺幺
㗁	口吅二5
㗂	口{少三}3目
㗃	口民日
㗄	口罒方
㗅	口古月
㗆	口革
㗇	口{叚字旁无二}二又
㗈	口龴{甬字底}力
㗉	丰刀各
㗊	吅吅
㗋	口{负字头}厂矢
㗌	口宀至
㗍	口禾日
㗎	口力口木
㗏	口不1{止变}
㗐	口大4皿
㗑	口龵1丰
㗒	口{衣框}口
㗓	口3㠯辶
㗔	口虍文
㗕	口{寒字腰无横}{噩字框}冂
㗖	口爫臼
㗗	口力白十
㗘	口甫寸
㗙	口勹䶹䶹
㗚	口覀木
㗛	口{竹头}3大
㗜	口亠幺田
㗝	口{美字头}灬
㗞	口石皮
㗟	氵4王匕
㗠	女厶口匕
㗡	艹亻乃匕
㗢	口千里力
㗣	口廿{见字底}巾
㗤	戊{卢字头}1口
㗥	口{享字头}子阝
㗦	口耳卯
㗧	口穴至
㗨	匚矢殳口
㗩	口羽白
㗪	口止匕糸
㗫	口{祭字头}示
㗬	{尚头}夕夕
㗭	口3米心
㗮	夕口广人
㗯	耂日口匕
㗰	口彳人龰
㗱	口隹木
㗲	口{聿三}土1
㗳	口{竹头}亼口
㗴	口門月
㗵	口火火欠
㗶	口癶弓殳
㗷	口宀{寒字腰无横}贝
㗸	口行缶
㗹	口隹心
㗺	口1大非
㗻	口咼辶
㗼	口业䒑未
㗽	乡4{即字旁}口
㗾	口革亻{化字边}
㗿	口門可
㘀	口臼米
㘁	口罒土{南字心}
㘂	口䒑幺心
㘃	口艹{左字框}心
㘄	口木罒方
㘅	口行金
㘆	口士口至
㘇	口火火木
㘈	口匕矢疋
㘉	口{竹头}{即字旁}卩
㘊	口{雨头}言
㘋	口臣又貝
㘌	口虍豕刂
㘍	口小隹戈
㘎	口门5攵
㘏	䒑自辶匕
㘐	口馬六乂
㘑	口士示氺
㘒	禾千里匕
㘓	口門束丷
㘔	口宀{寒字腰无横}貝
㘕	口艹臣皿
㘖	口{立无横}厂頁
㘗	口目目隹
㘘	言糹糹口
㘙	口吅厂攵
㘚	口門5攵
㘛	口亼口{龍字边}
㘜	隹言隹口
㘝	囗又
㘞	囗力
㘟	囗廾
㘠	囗心3
㘡	囗甲
㘢	囗光
㘣	囗口{青字底}
㘤	囗氵{乔字底}5
㘥	囗爫缶糸
㘦	土力
㘧	土予
㘨	土冂人
㘩	土{比字旁}匕
㘪	土毛
㘫	土井
㘬	土勹厶
㘭	土幺5
㘮	土尸4
㘯	土{卧人}力
㘰	土斗
㘱	土冂{里无日}
㘲	土尸九
㘳	{北字旁}匕土
㘴	口人土
㘵	土{左字框}巾
㘶	夕㐄土
㘷	土艹乂
㘸	歹匕土
㘹	止匕土
㘺	土亻戈
㘻	土囗大
㘼	土耂15
㘽	十戈土
㘾	土宀1{于无横}
㘿	土日土
㙀	土穴九
㙁	土{卧人}母
㙂	土丷口儿
㙃	土{丘无横}{共字底}
㙄	土{比字旁}匕土
㙅	土口木
㙆	土宀{左字框}厶
㙇	土豕4
㙈	土虎
㙉	土{典字头}{共字底}
㙊	土{镸无厶}{畏字底}
㙋	土{其字头无横}{共字底}
㙌	土肀{乔字底}八
㙍	土又又又
㙎	土戊1女
㙏	土{卧人}日夂
㙐	土山而
㙑	3口{禺下}土
㙒	田予土
㙓	土土土土
㙔	土韋
㙕	土田{青字底}
㙖	土3口{禺下}
㙗	土田1{畏字底}
㙘	土覀女
㙙	氵尤彡土
㙚	土{美字头}牛
㙛	土甫寸
㙜	高土
㙝	土力力{青字底}
㙞	土自木
㙟	土4{即字旁}月
㙠	匚矢殳土
㙡	土彳人龰
㙢	土廿巾入
㙣	土弓{镸无厶}{畏字底}
㙤	土虍3{于无横}
㙥	土{衣框}八厶
㙦	{全字头}{余字底}斗土
㙧	土1{临字旁}田
㙨	土幺幺人
㙩	土大丷小
㙪	土士冖豆
㙫	土隹木
㙬	{木框}人人土
㙭	土厂䒑欠
㙮	土{竹头}亼口
㙯	土八土云
㙰	{负字头}用刀土
㙱	口15土
㙲	土亠乡隹
㙳	土戊1心
㙴	土{负字头}厂言
㙵	土高土
㙶	{享字头}{尚头}土
㙷	土日幺灬
㙸	土亻业4
㙹	土艹罒夕
㙺	土匚{贵字头}貝
㙻	土广里土
㙼	土田田田
㙽	土{大框}1白
㙾	土{臼裂}乂子
㙿	土{美字头}禾乃
㚀	土虍豆戈
㚁	土土土{见字底}
㚂	土十口{衣省}
㚃	士冖乂䒑
㚄	士冖田疋
㚅	夂1生
㚆	亠日夊
㚇	乂凵八夂
㚈	夕十
㚉	乃夕夕
㚊	夕夕亥
㚋	夕夕{周字框}口
㚌	夕夕田木
㚍	夕夕{贵字头}貝
㚎	大凵
㚏	大廾
㚐	大大
㚑	彐大
㚒	大入入
㚓	大木
㚔	大{南字心}
㚕	大弗
㚖	白大
㚗	大且
㚘	夫夫
㚙	力口大
㚚	大夕口
㚛	大匕日
㚜	大戈口1
㚝	大亻土土
㚞	大木木
㚟	{免五}{比字旁}匕大
㚠	大{美字头}灬
㚡	大可大可
㚢	亻女
㚣	女女
㚤	女弋
㚥	女1{于无横}
㚦	女丌
㚧	女广
㚨	女5十
㚩	女冂二
㚪	女毛
㚫	女及
㚬	女勹冫
㚭	女尤
㚮	女冖几
㚯	女{风省}乂
㚰	女不1
㚱	女{丘无横}1
㚲	女{卢字头}口
㚳	女力口
㚴	女{左字框}巾
㚵	女夂{冬字底}
㚶	女㠯
㚷	女{全字头}小
㚸	女51口
㚹	女卯
㚺	女乃子
㚻	田女
㚼	女田
㚽	工15女
㚾	女口儿
㚿	女勹巳
㛀	女{负字头}彐
㛁	女干丷
㛂	女{反字框}巴
㛃	丰刀女
㛄	女衣
㛅	女耳
㛆	女乃木
㛇	女广土
㛈	女耂15
㛉	女西
㛊	女几木
㛋	女{全字头}{恭字底}
㛌	女厶牛
㛍	女大人人
㛎	女口口
㛏	女1氺4
㛐	女{凬字心}㐅
㛑	歺又女
㛒	女豆
㛓	女乂{左字框}巾
㛔	女夂丰
㛕	女口巴
㛖	女厶八夂
㛗	女人人土
㛘	女十冖子
㛙	女辛
㛚	女龴{甬字底}
㛛	女身
㛜	亻2攵女
㛝	女貝
㛞	女王廾
㛟	女{负字头}{见二}大
㛠	女门日
㛡	女宀二{见字底}
㛢	女禾乃
㛣	女口贝
㛤	女1{丽下角}{丽下角}
㛥	女水日
㛦	女木木
㛧	女山石
㛨	女{差字头}5
㛩	女{充字头}{青字底}
㛪	女大日5
㛫	女日勹{横两撇}
㛬	女土八土
㛭	女龷日
㛮	女宀火又
㛯	女{免五}{见字底}力
㛰	女民日
㛱	女田1{畏字底}
㛲	女頁
㛳	{立无横}冖巾女
㛴	女巛3乂
㛵	女爫冂{里无日}
㛶	女山{左字框}火
㛷	禾尤女
㛸	女壴
㛹	女亻{凬字心}㐅
㛺	女音
㛻	女大土土
㛼	女千臼
㛽	女宀米
㛾	女戊1口
㛿	女{带字头}冖巾
㜀	女木目
㜁	女木日1
㜂	土土寸女
㜃	女亻言
㜄	女風
㜅	女亠幺田
㜆	女米辶
㜇	女土土心
㜈	予3夂女
㜉	女巛口巴
㜊	女尸龷{畏字底}
㜋	女{益字头}皿
㜌	士冖1殳
㜍	女广肀口
㜎	女爫幺大
㜏	女口貝
㜐	女山豆
㜑	氵甫女
㜒	女臼廾
㜓	女艹亼口
㜔	女立口儿
㜕	女車辶
㜖	女1曲日
㜗	女厶厶彡
㜘	女虍且
㜙	女鹿
㜚	女宀亻白
㜛	女車欠
㜜	女敖
㜝	女亽5酉
㜞	車斤女
㜟	女5耳攵
㜠	女山隹
㜡	女彳人龰
㜢	女口十女
㜣	女{然左角}犬灬
㜤	女覀日十
㜥	女罒貝
㜦	女彐工寸
㜧	女厂䒑欠
㜨	女尸2牛
㜩	女3冂大
㜪	立朩斤女
㜫	女{微字框}几
㜬	女{负字头}厂言
㜭	女{尚头}田
㜮	女臣{临右角}皿
㜯	女{颐字旁}巳灬
㜰	女白幺木
㜱	女斤斤貝
