㐀	21{卢字头}1
䢔	亼口辶
䢕	戊1辶
䢖	聿辶
䢗	曲辶
䢘	宀寸辶
䢙	貝辶
䢚	{凬字心}㐅辶
䢛	冂八口辶
䢜	彐冖巾辶
䢝	三21辶
䢞	木木辶
䢟	方攵辶
䢠	火廾辶
䢡	廿5木辶
䢢	亽尸1辶
䢣	夕言辶
䢤	禾木4辶
䢥	1{止变}目辶
䢦	亠幺冫辶
䢧	羽{全字头}彡辶
䢨	彳人人辶
䢩	五口攵辶
䢪	3大口辶
䢫	阝{左字框}工辶
䢬	爫冖夕辶
䢭	{美字头}冫欠辶
䢮	{雨头}田辶
䢯	火火夕辶
䢰	羽隹辶
䢱	士罒貝辶
䢲	目目隹辶
䢳	几阝
䢴	3{左字框}阝
䢵	云阝
䢶	木阝
䢷	{周字框}亠阝
䢸	且阝
䢹	匚{叚右角}阝
䢺	屮凵阝
䢻	臣阝
䢼	龷八阝
䢽	龷八口巴
䢾	{告字头}儿阝
䢿	宀女阝
䣀	{负字头}厂㔾阝
䣁	羽阝
䣂	耒阝
䣃	{卸字旁}阝
䣄	{全字头}{余字底}阝
䣅	辰阝
䣆	1巛工阝
䣇	1氺4阝
䣈	口巴口巴
䣉	氵{少三}3巴
䣊	尚阝
䣋	3米阝
䣌	广氏4阝
䣍	大日5阝
䣎	巛田阝
䣏	亻龷八阝
䣐	艹{见二}大阝
䣑	厂里阝
䣒	{贵字头}贝阝
䣓	鬲阝
䣔	{尚字头}貝阝
䣕	馬阝
䣖	馬口巴
䣗	白大十阝
䣘	{尚头}土阝
䣙	山月月阝
䣚	口十口阝
䣛	木{全字头}氺阝
䣜	虍且阝
䣝	尸耂日阝
䣞	吅䒑䶹阝
䣟	旡旡日阝
䣠	夫夫日阝
䣡	{美字头}3扌阝
䣢	耒龷日阝
䣣	{尚头}黑阝
䣤	目目隹阝
䣥	酉匕
䣦	酉力
䣧	酉弋
䣨	酉3七
䣩	酉1{屯无横}
䣪	酉1巾
䣫	酉支
䣬	酉戈
䣭	酉犬
䣮	酉{左字框}又4
䣯	酉且
䣰	酉匚{叚右角}
䣱	酉句
䣲	酉厶廾
䣳	酉51口
䣴	酉乂凵儿
䣵	酉耳
䣶	酉舌
䣷	酉3未
䣸	亻3士酉
䣹	酉亻戈
䣺	酉口{青字底}
䣻	酉亽5口
䣼	酉{享字头}小
䣽	矢口酉
䣾	酉宀且
䣿	酉1{于无横}皿
䤀	酉艹{左字框}口
䤁	酉{其字头无横}{共字底}5
䤂	酉甘木
䤃	酉音
䤄	酉面
䤅	酉亼{青字底}刂
䤆	酉癶1大
䤇	酉穴{全字头}又
䤈	酉八1皿
䤉	酉心3皿
䤊	酉艹耳
䤋	丷酉戈1
䤌	酉亽尸口
䤍	酉廿巾入
䤎	酉予3口
䤏	酉非手
䤐	酉旡旡日
䤑	酉黄
䤒	酉幺幺人
䤓	酉艹冖豕
䤔	氵車斤酉
䤕	酉白幺木
䤖	酉日龷氺
䤗	音十夂酉
䤘	酉人人1
䤙	酉彑{豕省}虫
䤚	月里
䤛	金丩
䤜	金3七
䤝	金{卬字旁}卩
䤞	金尤
䤟	金冖几
䤠	金止
䤡	金冂{里无日}
䤢	金口力
䤣	金3丷{于无横}
䤤	金亥
䤥	金{负字头}厂㔾
䤦	金亻戈
䤧	金囗口
䤨	金{反字框}{旅下角}
䤩	金宀3七
䤪	金几木
䤫	金山亽5
䤬	金氵{少三}3
䤭	金乂{左字框}巾
䤮	金止{步字底}
䤯	金1廾彡
䤰	土欠金
䤱	金山斤
䤲	金土{亦字底}
䤳	金亠亻{夜下角}
䤴	金5氺凵
䤵	金非
䤶	金大日5
䤷	金匚日女
䤸	金彑{豕省}
䤹	金宀火又
䤺	金石斤
䤻	金{左字框}工{青字底}
䤼	金白水
䤽	金罒{鳏下角}
䤾	金爫臼
䤿	金丰刀手
䥀	金屮1虫
䥁	金龴囗{南字心}
䥂	金冖1豕
䥃	金冖隹
䥄	金厂龷日
䥅	十王王金
䥆	亠非金
䥇	金户羽
䥈	金艹犬廾
䥉	金宀兔
䥊	金龶貝
䥋	金{享字头}了灬
䥌	宀日日金
䥍	土{南字心}丸金
䥎	金辰{青字底}
䥏	金彳{卸字旁}卩
䥐	予3夂金
䥑	金{木框}人夊
䥒	弓口虫金
䥓	金{其字头无横}{共字底}土
䥔	金覀米
䥕	金㡀攵
䥖	金丷酉大
䥗	金士示欠
䥘	金人人日
䥙	金阝䒑{豕省}
䥚	{风省}目目金
䥛	金丰刀糸
䥜	金門木
䥝	金鹿匕
䥞	金白方攵
䥟	金扌日亾
䥠	金艹戊口
䥡	金片廿木
䥢	壴支金
䥣	臼工殳金
䥤	金{雨头}勹巳
䥥	金{立无横}厂{兼无䒑无彐}
䥦	金{左字框}工辶
䥧	金{卢字头}5目
䥨	金門口口
䥩	金{微字框}几
䥪	金日幺灬
䥫	金十戈隹
䥬	金艹甫寸
䥭	1氺4金
䥮	金覀臣卩
䥯	金罒厶匕
䥰	金亡虫虫
䥱	金宀臼灬
䥲	金匚口欠
䥳	金三3夂
䥴	金山隹冂
䥵	金日土{见字底}
䥶	金厂禾止
䥷	金{竹头}目刂
䥸	弓1八金
䥹	金丰刀齒
䥺	钅牙
䥻	钅无
䥼	钅勹{横两撇}
䥽	钅{发二}又4
䥾	钅冖11
䥿	钅{反字框}1{万无横}
䦀	钅羽
䦁	钅{寿字头}阝
䦂	钅户羽
䦃	钅艹耂日
䦄	钅{凬字心}{虫无口}衣
䦅	钅羊䒑口
䦆	钅目目又
䦇	镸八5
䦈	镸{左字框}工
䦉	镸四
䦊	镸{卢字头}1小
䦋	镸敖
䦌	門土
䦍	門{卧人}6
䦎	門二{见字底}
䦏	門{全字头}{乔字底}
䦐	門手
䦑	門{候右角}人
䦒	門石
䦓	門{卢字头}口
䦔	門日1
䦕	門䒑廾
䦖	門士口
䦗	門3皿
䦘	門艮
䦙	門土寸
䦚	門舌
䦛	門{尔字头}{争字底}
䦜	門五口
䦝	門土{亦字底}
䦞	門氵王
䦟	門人人土
䦠	門豕4
䦡	門宀㠯
䦢	門氵土厶
䦣	門立口
䦤	門又又又
䦥	門木木
䦦	門金
䦧	門臼儿
䦨	門束1
䦩	門目夂
䦪	門日勹亾
䦫	門艹{见二}大
䦬	門丰刀大
䦭	門禾日
䦮	門{寿字头}4日
䦯	門至攵
䦰	門{负字头}日5
䦱	門爫3灬
䦲	門{负字头}厂言
䦳	門乡4阝
䦴	門罒土{南字心}
䦵	門1八乂
䦶	门{尔字头}{争字底}
䦷	门人人土
䦸	门田{禺下}
䦹	阝十
䦺	阝丁
䦻	阝子
䦼	阝{候右角}人
䦽	阝予
䦾	3㠯厶儿
䦿	阝口2
䧀	阝{左字框}厶
䧁	阝句
䧂	阝刀口
䧃	阝田
䧄	阝各
䧅	阝{大框}弓
䧆	阝龷八
䧇	阝衣
䧈	阝覀
䧉	阝里
䧊	阝{告字头}口
䧋	阝見
䧌	阝爫女
䧍	阝谷
䧎	阝口{青字底}
䧏	阝夂丰
䧐	阝{享字头}子
䧑	阝宀{定字底}
䧒	阝{木框}人人
䧓	阝{周字框}土口
䧔	阝亽5心
䧕	阝戈口1
䧖	阝戈戈
䧗	阝{卧人}日夂
䧘	阝彑{豕省}
䧙	阝山{全字头}{恭字底}
䧚	阝高
䧛	阝{立无横}冖方
䧜	阝广肀口
䧝	阝屮1虫
䧞	阝馬
䧟	阝爫臼
䧠	阝{凬字心}{虫无口}寸
䧡	阝广肀{甬字底}
䧢	阝匚口吅
䧣	阝覀示
䧤	阝业{差字头}4
䧥	阝{凬字心}{虫无口}心
䧦	阝爫3灬
䧧	阝{美字头}3戈
䧨	阝业䒑未
䧩	阝5耳攵
䧪	阝广大女
䧫	阝{亮字头}豕
䧬	阝宀1貝
䧭	阝3囗心
䧮	阝宀丰心
䧯	阝{免五}{比字旁}兔
䧰	阝魚3糸
䧱	九隹
䧲	干隹
䧳	止隹
䧴	支隹
䧵	冖{见字底}隹
䧶	隹六
䧷	夂{冬字底}隹
䧸	古隹
䧹	广亻隹
䧺	{左字框}口隹
䧻	亼口隹
䧼	{告字头}口隹
䧽	3米隹
䧾	{全字头}{舍字底}隹
䧿	龷日隹
䨀	入米隹
䨁	予3攵隹
䨂	禾火隹
䨃	日宀女隹
䨄	亽5酉隹
䨅	大丷日隹
䨆	㡀攵隹
䨇	隹又隹又
䨈	宀1{步字底}隹
䨉	貝貝女隹
䨊	隹隹隹5
䨋	{雨头}3七
䨌	{雨头}二{见字底}
䨍	{雨头}井
䨎	{雨头}弓厶
䨏	{雨头}冫欠
䨐	{雨头}亼口
䨑	{雨头}{大框}弓
䨒	{雨头}羽
䨓	{雨头}囗口
䨔	{雨头}光
䨕	{雨头}氵1{于无横}
䨖	{雨头}{左字框}{青字底}
䨗	{雨头}爫子
䨘	{雨头}見
䨙	{雨头}氵3士
䨚	{雨头}勹{横两撇}心
䨛	{雨头}木斤
䨜	{雨头}月月
䨝	{雨头}龶{青字底}
䨞	{雨头}3口{禺下}
䨟	{雨头}氵土土
䨠	{雨头}日勹亾
䨡	{雨头}5氺凵
䨢	{雨头}{其字头无横}{共字底}5
䨣	{雨头}革
䨤	{雨头}由辶
䨥	{雨头}隹又
䨦	{雨头}{立无横}冖方
䨧	{雨头}立亽龴
䨨	{雨头}3㠯辶
䨩	{雨头}礻日2
䨪	{雨头}土里
䨫	{雨头}{木框}人夊
䨬	{雨头}氵木木
䨭	{雨头}云{尚字头}{青字底}
䨮	{雨头}丰丰彐
䨯	{雨头}阝束1
䨰	{雨头}氵革
䨱	{雨头}彳{卧人}夂
䨲	{雨头}而兔
䨳	{雨头}見見
䨴	{雨头}业{美字头}寸
䨵	{雨头}氵覀十
䨶	{雨头}厶目{鼎右角}
䨷	{雨头}木木攴
䨸	{雨头}阝爫心
䨹	{雨头}亻2黑
䨺	{雨头}云{雨头}云
䨻	{雨头}田{雨头}田
䨼	龶{青字底}艹又
䨽	非己
䨾	广非
䨿	1大非
䩀	非貝
䩁	非毛毛毛
䩂	面亽5
䩃	面{比字旁}匕
䩄	面见
䩅	面皮
䩆	面乍
䩇	面{卢字头}口
䩈	面{卧人}母
䩉	面甫
䩊	面宀夕㔾
䩋	面麻
䩌	面隹灬
䩍	面大丷小
䩎	面僉
䩏	面艹罒4
䩐	革{卧人}6
䩑	革弓
䩒	革1{于无横}
䩓	革勹厶
䩔	革殳
䩕	革{卬字旁}卩
䩖	革{少三}3
䩗	革月
䩘	革1幺
䩙	革亠幺
䩚	革氏4
䩛	革心3
䩜	革由
䩝	革瓜
䩞	革{卢字头}口
䩟	革{大框}弓
䩠	革3士廴
䩡	革大人人
䩢	革扌斤
䩣	革{全字头}{余字底}
䩤	革見
䩥	革3{延字心无撇}廴
䩦	亻2攵革
䩧	革言
䩨	革{镸无厶}{畏字底}
䩩	革宀夕㔾
䩪	革宀㠯
䩫	革1巾入
䩬	革{寿字头}4{举字底}
䩭	革大可
䩮	革{录字头}氺
䩯	革了口1
䩰	革口耳
䩱	革亼{青字底}刂
䩲	革广廿又
䩳	革宀火又
䩴	革古月
䩵	革冖車
䩶	革䶹虫
䩷	革{立无横}冖方
䩸	革艹耳
䩹	革鬲
䩺	革八厶羽
䩻	革馬
䩼	革夂丰辶
䩽	革匚口吅
䩾	革广廿灬
䩿	革十艹貝
䪀	革宀㠯心
䪁	革业{差字头}4
䪂	革{木框}冂冂
䪃	革{享字头}子攵
䪄	革黄
䪅	革罒勹虫
䪆	革曲豆
䪇	革艹甫寸
䪈	革{贵字头}㠯辶
䪉	革巛{巤字底}
䪊	革立{青字底}{龍字边}
䪋	革{贵字头}貝辶
䪌	革{免五}{比字旁}兔
䪍	革門束丷
䪎	革山隹口
䪏	韋冂人
䪐	韋心3
䪑	韋宀匕
䪒	韋4王
䪓	韋{卢字头}口
䪔	韋甫
䪕	韋勹米
䪖	韋{卧人}日夂
䪗	韋{叚字旁无二}二又
䪘	韋日{定字底}
䪙	韋甫寸
䪚	韋日羽
䪛	韋3米田
䪜	韋{负字头}厂言
䪝	韋艹隹又
䪞	1大非1
䪟	亠巾又1
䪠	{姊字边}欠非1
䪡	{姊字边}冫欠1
䪢	{姊字边}冫欠1
䪣	1巾31
䪤	非13田
䪥	{歺变}貝又1
䪦	音工
䪧	音也
䪨	音勹4
䪩	音亽5
䪪	力口音
䪫	音1巛工
䪬	音十冖子
䪭	音音
䪮	音勹䶹䶹
䪯	火火冖音
䪰	音音心
䪱	己頁
䪲	1{见字底}頁
䪳	{聿三}3頁
䪴	冖{见字底}頁
䪵	牙頁
䪶	且頁
䪷	句頁
䪸	民頁
䪹	不1頁
䪺	土厶頁
䪻	厶廾頁
䪼	屮凵頁
䪽	口15頁
䪾	頁{全字头}彡
䪿	3囗乂頁
䫀	{即字旁}頁
䫁	自頁
䫂	夕夕頁
䫃	辰頁
䫄	丷口儿頁
䫅	宀木頁
䫆	戊5頁
䫇	彡冂二頁
䫈	山亽5頁
䫉	豸頁
䫊	不口頁
䫋	禾女頁
䫌	白3十頁
䫍	非頁
䫎	又又又頁
䫏	{其字头无横}{共字底}頁
䫐	木木頁
䫑	大可頁
䫒	氏日頁
䫓	立口頁
䫔	丰刀大頁
䫕	{立无横}冖巾頁
䫖	{其字头无横}{共字底}5頁
䫗	{叚字旁无二}二{叚右角}頁
䫘	日勹亾頁
䫙	十艹木頁
䫚	咼頁
䫛	亻{候右角}矢頁
䫜	山幺幺頁
䫝	禾日頁
䫞	{美字头}灬頁
䫟	口貝頁
䫠	彡不口頁
䫡	䒑{聿三}{兼无䒑无彐}頁
䫢	{反字框}虎頁
䫣	爫幺大頁
䫤	冖日六頁
䫥	鬼頁
䫦	土厶皿頁
䫧	白大十頁
䫨	敖頁
䫩	厶厶厶頁
䫪	{大框}乂乂頁
䫫	口十口頁
䫬	旡旡日頁
䫭	{贵字头}貝頁
䫮	彐工口頁
䫯	方大可頁
䫰	頁米夕㐄
䫱	而而頁
䫲	戊1口頁
䫳	罒勹虫頁
䫴	木木示頁
䫵	自穴方頁
䫶	木乂乂頁
䫷	{噩字框}吅吅頁
䫸	風刀
䫹	風工
䫺	{左字框}厶風
䫻	風日
䫼	風{候右角}人
䫽	風毛
䫾	風心3
䫿	風刀口
䬀	風幺力
䬁	風宀匕
䬂	風戉
䬃	風立
䬄	風戊1
䬅	風力力力
䬆	風禾刂
䬇	丷口儿風
䬈	風丷口儿
䬉	風土{亦字底}
䬊	風大人人
䬋	風土八夂
䬌	虎風
䬍	風勹{横两撇}心
䬎	風戈口1
䬏	風立口
䬐	風禾女
䬑	風田{青字底}
䬒	風宀火又
䬓	風音
䬔	風亼{青字底}刂
䬕	風風
䬖	風白王
䬗	日1勹風
䬘	風高
䬙	風爫缶
䬚	風馬
䬛	風日龷十
䬜	風亠乂禸
䬝	風黄
䬞	風士5寸
䬟	風{留字头}金刂
䬠	{雨头}飞{飛字底}
䬡	耂日飞{飛字底}
䬢	飠刀
䬣	飠{卧人}6
䬤	尸食
䬥	弋食
䬦	飠殳
䬧	飠二{见字底}
䬨	飠勹九
䬩	不食
䬪	飠不
䬫	飠氏4
䬬	飠{见二}大
䬭	口刀食
䬮	飠{以字旁}人
䬯	飠{卢字头}口
䬰	飠刀口
䬱	飠木1
䬲	飠句
䬳	飠丷{举字底}
䬴	飠1木
䬵	飠亥
䬶	飠艮
䬷	飠夕夕
䬸	歹又食
䬹	飠至
䬺	飠羊
䬻	飠戈二
䬼	飠口{青字底}
䬽	飠丷口儿
䬾	飠丷{弟省}
䬿	飠尸毛
䭀	飠5十辶
䭁	扌斤食
䭂	飠口巴
䭃	飠亽5心
䭄	飠1口{事字底}
䭅	飠囗古
䭆	臣卜食
䭇	飠勹士口
䭈	飠聿廴
䭉	飠{左字框}工{青字底}
䭊	飠艹{见二}大
䭋	飠亻口木
䭌	古月食
䭍	飠龶皿
䭎	飠廿5木
䭏	亽{叚字旁无二}三{扁字心}
䭐	飠{美字头}心
䭑	飠䒑{聿三}{兼无䒑无彐}
䭒	飠自心
䭓	飠山豆
䭔	飠3㠯辶
䭕	車斤食
䭖	飠广廿灬
䭗	飠音儿
䭘	飠日{享字头}小
䭙	飠旡旡日
䭚	飠立里
䭛	飠5耳攵
䭜	亽{叚字旁无二}三小
䭝	飠亼{临下角}日
䭞	飠罒土{南字心}
䭟	飠艹廿木
䭠	飠广䒑{兼无䒑无彐}
䭡	飠爫工心
䭢	飠宀心丁
䭣	飠亠丷二
䭤	飠{贵字头}㠯辶
䭥	飠{差字头}4艮
䭦	飠艹氵寸
䭧	飠麻糸
䭨	飠山隹口
䭩	飠麻非
䭪	饣日1里
䭫	匕日䒑自
䭬	匕日巛自
䭭	䒑自頁
䭮	髟䒑自
䭯	禾日屮凵
䭰	禾日{寿字头}{举字底}
䭱	禾日㡀
䭲	禾日大可
䭳	禾女鬼日
䭴	馬十
䭵	馬几4
䭶	馬丌
䭷	馬毛
䭸	馬八乂
䭹	馬{卬字旁}卩
䭺	馬亠几
䭻	馬八刀
䭼	馬二{乔字底}
䭽	馬牛
䭾	馬犬
䭿	馬3夫
䮀	馬勹巳
䮁	馬厶廾
䮂	馬{左字框}又4
䮃	馬土厶
䮄	馬亠幺
䮅	馬戉
䮆	馬不十
䮇	馬聿
䮈	馬夕夕
䮉	馬{卧人}{旅下角}
䮊	馬{大框}弓
䮋	馬歹刂
䮌	馬亻木
䮍	馬衣
䮎	馬乂{左字框}巾
䮏	馬五口
䮐	馬冂八口
䮑	馬爫寸
䮒	馬甫
䮓	馬{卢字头}日十
䮔	馬千艹士
䮕	馬又又又
䮖	馬日日
䮗	馬山厂干
䮘	馬臼儿
䮙	馬戈口1
䮚	馬土八夂
䮛	馬阝亻寸
䮜	馬廿5木
䮝	馬冖車
䮞	馬{寿字头}4日
䮟	馬宀火又
䮠	馬1口田
䮡	馬{卧人}日夂
䮢	馬千臼
䮣	馬又又木
䮤	馬冖隹
䮥	馬鬲
䮦	馬高
䮧	十日十馬
䮨	馬宀辛
䮩	馬骨
䮪	馬夕㐄木
䮫	馬口十女
䮬	馬艹日大
䮭	馬爫見
䮮	馬{木框}人夊
䮯	馬敖
䮰	馬{立无横}冂古
䮱	馬豕辶
䮲	馬黄
䮳	馬3米田
䮴	馬癶豆
䮵	馬立里
䮶	馬隹木
䮷	馬罒勹虫
䮸	{臼裂}乂乂馬
䮹	馬止戊{步字底}
䮺	馬亠丷二
䮻	馬士5寸
䮼	馬火火㐄
䮽	馬鹿灬
䮾	馬立{青字底}{龍字边}
䮿	馬宀{寒字腰无横}足
䯀	馬耳耳耳
䯁	馬{赢字框}羊
䯂	馬馬馬木
䯃	马宀女
䯄	马口冂人
䯅	马耳又又
䯆	骨5
䯇	骨力
䯈	骨二{见字底}
䯉	骨欠
䯊	骨可
䯋	骨{左字框}又4
䯌	骨尸九
䯍	骨亽龴
䯎	骨{全字头}干
䯏	骨舌
䯐	骨冂人人
䯑	骨光
䯒	骨行
䯓	骨土土
䯔	骨宀3七
䯕	骨3士廴
䯖	骨4艮
䯗	骨{比字旁}匕土
䯘	骨宀二{见字底}
䯙	骨甫
䯚	骨幺{青字底}
䯛	骨宀夕㔾
䯜	骨日勹{横两撇}
䯝	骨{左字框}工{青字底}
䯞	骨咼
䯟	骨䒑{豕省}
䯠	骨日皿
䯡	骨䒑{聿三}{兼无䒑无彐}
䯢	麻骨
䯣	骨{贵字头}貝
䯤	骨亼{临下角}日
䯥	骨日幺灬
䯦	骨艹罒4
䯧	{亮字头}冂口
䯨	高大
䯩	高巴
䯪	高頁
䯫	日{享字头}小高
䯬	{享字头}囗口十
䯭	髟又
䯮	髟乃
䯯	髟{少三}3
䯰	髟{全字头}{乔字底}
䯱	髟不
䯲	髟巴
䯳	髟八厶
䯴	髟殳
䯵	髟十廾
䯶	髟且
䯷	髟戈{左字框}
䯸	髟冫欠
䯹	髟彐冖又
䯺	髟氏口
䯻	髟{告字头}口
䯼	髟犭火
䯽	髟立口
䯾	髟{周字框}土口
䯿	髟亠人十
䰀	髟禾女
䰁	髟{录字头}氺
䰂	髟爫木
䰃	髟䒑业
䰄	髟田心
䰅	髟頁
䰆	髟予3木
䰇	髟耂日
䰈	髟{差字头}工
䰉	髟舟殳
䰊	髟甫寸
䰋	髟日宀女
䰌	髟彳人龰
䰍	髟木{全字头}氺
䰎	髟{贵字头}貝
䰏	髟十戈隹
䰐	髟臣{临右角}皿
䰑	髟{雨头}而
䰒	髟艹冖豕
䰓	髟自穴方
䰔	髟舟殳皿
䰕	髟虍田皿
䰖	髟{告字头}儿貝
䰗	鬥{负字头}黾
䰘	鬥羽{全字头}彡
䰙	鬲支
䰚	鬲文
䰛	鬲瓦
䰜	弓鬲弓
䰝	鬲丷囗日
䰞	弓耂日鬲
䰟	云鬼
䰠	鬼日2
䰡	鬼3夫
䰢	鬼行
䰣	鬼冂乂乂
䰤	束1鬼
䰥	戈口1鬼
䰦	鬼白3十
䰧	鬼虎
䰨	鬼{眉字框}目
䰩	耂日鬼
䰪	冫{飞无折}人鬼
䰫	鬼土土{见字底}
䰬	鬼予3口
䰭	而而鬼
䰮	鬼{美字头}3戈
䰯	鬼匕矢疋
䰰	{雨头}而鬼
䰱	{雨头}口口鬼
䰲	魚5
䰳	魚丁
䰴	魚{卧人}6
䰵	魚子
䰶	魚亡
䰷	魚丰
䰸	魚八厶
䰹	魚戈
䰺	魚斤
䰻	魚攵
䰼	魚亽5
䰽	魚1巾
䰾	魚巴
䰿	魚{卧人}也
䱀	魚{见二}大
䱁	魚木1
䱂	魚幺力
䱃	魚3夫
䱄	魚瓜
䱅	魚1木
䱆	魚乃子
䱇	魚日1
䱈	魚示
䱉	魚且
䱊	魚米
䱋	魚龷八
䱌	魚{颐字旁}
䱍	魚12{冬字底}
䱎	魚1日1
䱏	魚豆
䱐	魚爫子
䱑	魚扌斤
䱒	魚口巴
䱓	魚3士廴
䱔	魚亻2攵
䱕	魚{卧人}母
䱖	魚丌匚{叚右角}
䱗	歺又魚
䱘	禾刂魚
䱙	魚{卢字头}1又
䱚	魚{录字头}氺
䱛	魚戈口1
䱜	魚龷日
䱝	魚白3十
䱞	魚大示
䱟	魚尸古
䱠	魚戈戈
䱡	魚勹米
䱢	魚{尔字头}{争字底}
䱣	魚亠人十
䱤	魚{负字头}臼
䱥	牛巾刂魚
䱦	魚隹
䱧	魚丷夫㔾
䱨	魚{木框}冂刂
䱩	魚冂䒑亡
䱪	魚龶{衣省}
䱫	束刂魚
䱬	魚疋{青字底}
䱭	魚忄1{冬字底}
䱮	魚丰刀大
䱯	予3攵魚
䱰	魚千里
䱱	魚{立无横}冖巾
䱲	魚彑{豕省}
䱳	魚厂里
䱴	魚忄11
䱵	魚八厶羽
䱶	魚4{即字旁}阝
䱷	虍魚攵
䱸	魚臼2又
䱹	魚{差字头}工
䱺	魚山豆
䱻	魚骨
䱼	魚尸龷{畏字底}
䱽	魚亽尸口
䱾	魚口十女
䱿	魚車斤
䲀	土{南字心}丸魚
䲁	魚尸示寸
䲂	魚方{卧人}疋
䲃	魚巛田木
䲄	魚{卧人}母攵
䲅	魚夫見
䲆	魚魚
䲇	魚束辶
䲈	魚麻
䲉	魚{其字头无横}{共字底}斤
䲊	魚阝{左字框}{青字底}
䲋	魚夫夫日
䲌	魚士示欠
䲍	舟丷夫魚
䲎	魚5耳攵
䲏	魚火火力
䲐	魚虍田力
䲑	魚{美字头}3戈
䲒	魚{负字头}用牛
䲓	魚僉
䲔	魚1田1
䲕	魚䒑业日
䲖	魚士5寸
䲗	魚行金
䲘	魚{竹头}宀㠯
䲙	魚{竹头}{即字旁}卩
䲚	魚束{负字头}貝
䲛	魚艹罒目
䲜	魚魚魚魚
䲝	鱼{全字头}㔾
䲞	鱼立
䲟	鱼{卬字旁}1卩
䲠	鱼{寿字头}4日
䲡	鱼丷酉
䲢	月丷夫鱼
䲣	虍鱼攵
䲤	鱼氵酉
䲥	九鳥
䲦	鳥大
䲧	土鳥
䲨	工鳥
䲩	尸鳥
䲪	大鳥
䲫	1{见字底}鳥
䲬	鳥氏
䲭	氏鳥
䲮	二{见字底}鳥
䲯	及鳥
䲰	云鳥
䲱	鳥方
䲲	八厶鳥
䲳	亠几鳥
䲴	火鳥
䲵	{少三}3鳥
䲶	二{见字底}鳥
䲷	鳥木
䲸	{全字头}{乔字底}鳥
䲹	不1鳥
䲺	甘鳥
䲻	亠幺鳥
䲼	生鳥
䲽	石鳥
䲾	工15鳥
䲿	尸匕鳥
䳀	鳥3夫
䳁	鳥{左字框}又4
䳂	刀口鳥
䳃	鳥夕㔾
䳄	止匕鳥
䳅	鳥口八
䳆	白鳥
䳇	母鳥
䳈	鳥勹巳
䳉	夂{冬字底}鳥
䳊	{左字框}又4鳥
䳋	虫鳥
䳌	厶{青字底}鳥
䳍	龷八鳥
䳎	臼鳥
䳏	土土鳥
䳐	冫欠鳥
䳑	{左字框}{青字底}鳥
䳒	十戈鳥
䳓	老鳥
䳔	臼鳥
䳕	爫子鳥
䳖	鳥耳5
䳗	鳥3扌戈
䳘	鳥3扌戈
䳙	由15鳥
䳚	日干鳥
䳛	日女鳥
䳜	{全字头}{余字底}鳥
䳝	立口鳥
䳞	{寿字头}4{举字底}鳥
䳟	日月鳥
䳠	千艹士鳥
䳡	隹鳥
䳢	{其字头无横}{共字底}鳥
䳣	十戈{万无横}鳥
䳤	㡀鳥
䳥	山亽龴鳥
䳦	宀1日鳥
䳧	鳥亻{候右角}矢
䳨	白王鳥
䳩	覀女鳥
䳪	山而鳥
䳫	癶1大鳥
䳬	革鳥
䳭	{即字旁}卩鳥
䳮	月4{永无点}鳥
䳯	千里鳥
䳰	亻口木鳥
䳱	予3夂鳥
䳲	扌辰鳥
䳳	屮凵示鳥
䳴	罒{鳏下角}鳥
䳵	{木框}人人鳥
䳶	鳥爫幺大
䳷	彳人人鳥
䳸	麻鳥
䳹	鳥宀二攴
䳺	亽5酉鳥
䳻	車斤鳥
䳼	鳥匚口吅
䳽	山隹鳥
䳾	癶豆鳥
䳿	{然左角}犬灬鳥
䴀	立里鳥
䴁	宀田{禺下}鳥
䴂	象鳥
䴃	土土土鳥
䴄	爫冖夕鳥
䴅	十艹貝鳥
䴆	业{差字头}4鳥
䴇	{雨头}亽龴鳥
䴈	3冂米鳥
䴉	罒1口鳥
䴊	{美字头}3扌鳥
䴋	鳥罒1{衣省}
䴌	鳥艹冖豕
䴍	貝貝鳥
䴎	田田田鳥
䴏	廿口{北字旁}鳥
䴐	宀王缶鳥
䴑	田田田鳥
䴒	{雨头}口口鳥
䴓	1巾鸟
䴔	六乂鸟
䴕	歹刂鸟
䴖	龶{青字底}鸟
䴗	目犬鸟
䴘	{反字框}虎鸟
䴙	辟鸟
䴚	{卢字头}{鹵字底}亠几
䴛	{卢字头}{鹵字底}{尚字头}{青字底}
䴜	{卢字头}{鹵字底}鬼
䴝	{卢字头}{鹵字底}日又
䴞	{卢字头}{鹵字底}羽隹
䴟	鹿几4
䴠	鹿3大
䴡	1{业无横}厂匕
䴢	鹿木
䴣	{鹿旁}3丷{于无横}
䴤	鹿生
䴥	鹿力口
䴦	鹿言
䴧	{鹿旁}禾女
䴨	{鹿旁}厂白小
䴩	鹿覀示
䴪	鹿礻{录字头}氺
䴫	{鹿旁}{雨头}亽龴
䴬	{木框}人人弋
䴭	{木框}人人3
䴮	{木框}人人山
䴯	{木框}人人{横两撇}
䴰	{木框}人人戈
䴱	{木框}人人匕
䴲	{木框}人人木
䴳	{木框}人人穴
䴴	{木框}人人口
䴵	{木框}人人廾
䴶	{木框}人人丰
䴷	{木框}人人{见字底}
䴸	{木框}人人子
䴹	{木框}人人木
䴺	{木框}人人口
䴻	禾{黎右角}{木框}夊
䴼	{木框}人人戈
